R,Name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Apps,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,R,,Name,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,R,,Name,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Dennis Telgenkamp,Heracles,22,1980,0,0,1,0,0,62,0.1,1,6.48,22,0,0,0,0,0.5,0,0,0,6.48,234,,"Sven van BeekFeyenoord, 21, D(C)",31,2746,1,1,0.5,0.3,0.2,0.6,-,0.3,0.5,7.27,24,,"Sven van BeekFeyenoord, 21, D(C)",31,2746,1,0.3,63.4,87.9,0.2,7.5,-,7.27
Denys Oliynyk,Vitesse,22(8),2024,3,4,2,0,1.7,80.4,0.9,0,6.93,22(8),1.2,0.5,0.6,0,0.4,0.7,0,0,6.93,117,,"Jeff StansExcelsior, 25, AM(C)",32(2),2743,10,3,1.1,1.4,0.5,0.9,0.1,1.5,1.2,6.78,157,,"Jeff StansExcelsior, 25, AM(C)",32(2),2743,3,1.4,29.7,72,0.8,2.6,0.1,6.78
Dion Malone,ADO Den Haag,33,2866,0,6,6,0,0.4,74.2,1.3,0,6.85,33,2.4,1.5,1.3,0.2,2.1,0.9,0.2,0,6.85,139,,"Sjoerd OvergoorGo Ahead Eagles, 26, M(C)",31,2738,1,-,0.7,0.7,0.8,0.7,-,1.1,1,6.78,156,,"Sjoerd OvergoorGo Ahead Eagles, 26, M(C)",31,2738,-,0.7,38.2,80.6,-,2.5,-,6.78
Dirk Marcellis,NAC Breda,17,1512,0,0,3,0,0.2,75.3,2.5,2,7.2,17,2.2,3.4,0.8,0.5,9.8,0.9,0.7,0,7.2,44,,"Yassin AyoubUtrecht, 21, DM(C)",31,2727,5,6,1.4,2.7,1.1,1.9,-,2.2,1.5,7.41,17,,"Yassin AyoubUtrecht, 21, DM(C)",31,2727,6,2.7,40.2,80.7,2,1.6,0.2,7.41
Doke Schmidt,Heerenveen,8(14),910,0,0,2,0,0.2,73.2,0.6,0,6.58,8(14),1.4,1.7,1,0.3,2.5,0.4,0.3,0,6.58,205,,"Marko VejinovicVitesse, 25, M(C)",31,2726,10,8,2.1,2.1,1,1.4,-,0.7,0.9,7.73,3,,"Marko VejinovicVitesse, 25, M(C)",31,2726,8,2.1,59.7,83.9,1.5,5,0.1,7.73
Dries Wuytens,Willem II,31(1),2790,1,0,4,0,0.2,84.3,2.7,0,7.11,31(1),1.7,2.9,1.1,0.9,6.1,0.5,0.9,0,7.11,70,,"Hakim ZiyechTwente, 22, AM(CR)",31,2723,11,16,3.6,2.7,1.5,1.8,0.4,1.8,2.1,7.61,7,,"Hakim ZiyechTwente, 22, AM(CR)",31,2723,16,2.7,35.7,73.1,1.9,2.2,0.3,7.61
Eloy Room,Vitesse,23,2070,0,0,0,0,0,56.1,0.1,0,6.86,23,0,0,0,0,0.8,0,0,0,6.86,135,,"Robbin RuiterUtrecht, 28, GK",31,2722,-,-,-,-,0.1,0.1,-,-,0.1,6.86,138,,"Robbin RuiterUtrecht, 28, GK",31,2722,-,-,34.6,57.6,-,10.4,-,6.86
Elvis Manu,Feyenoord,15(11),1428,7,4,3,0,2.1,74.8,0.1,2,6.96,15(11),1,0,1.4,0,0.1,0.3,0,0,6.96,107,,"Stefano MarzoHeerenveen, 24, D(R)",31,2720,-,2,0.1,0.4,0.5,0.3,-,0.4,0.4,7.02,87,,"Stefano MarzoHeerenveen, 24, D(R)",31,2720,2,0.4,42.9,79.3,0.2,2.7,-,7.02
Eric Botteghin,Groningen,34,3060,3,2,4,0,0.8,84.7,2.9,8,7.61,34,2.7,3.3,1.4,0.6,9.6,1,1.1,1,7.61,6,,"Bryan LinssenHeracles, 24, AM(LR)",31(2),2718,10,8,2,1.5,0.5,0.7,0.4,1,1.7,7,94,,"Bryan LinssenHeracles, 24, AM(LR)",31(2),2718,8,1.5,23.4,67.4,0.9,0.9,0.1,7
Erik Bakker,Cambuur,22(5),1860,5,0,2,0,1.1,82.5,0.3,1,6.41,22(5),1.3,0.5,0.9,0.1,0.8,0.7,0.1,0,6.41,242,,"Mohamed El MakriniCambuur, 28, M(C)",32,2712,-,1,0.5,0.4,0.2,1.3,-,0.9,1.1,6.85,141,,"Mohamed El MakriniCambuur, 28, M(C)",32,2712,1,0.4,41,79.9,0.1,2.2,-,6.85
Erik Falkenburg,NAC Breda,24(3),2126,5,1,2,0,1.9,78.7,2.3,0,6.56,24(3),1.2,0.4,1.2,0,0.5,0.8,0.1,0,6.56,221,,"Rochdi AchentehVitesse, 27, D(L)",30(3),2707,1,5,0.4,1.2,0.7,1.2,-,0.5,0.9,7.01,89,,"Rochdi AchentehVitesse, 27, D(L)",30(3),2707,5,1.2,50.1,82.7,0.2,5.4,-,7.01
Esteban,AZ Alkmaar,26,2340,0,0,1,0,0,53.8,0.2,2,6.69,26,0,0.2,0,0,1.5,0.1,0,0,6.69,185,,"Kenneth VermeerFeyenoord, 29, GK",30,2700,-,-,-,-,-,0.3,-,-,-,6.44,239,,"Kenneth VermeerFeyenoord, 29, GK",30,2700,-,-,31.9,67.1,-,8.8,-,6.44
Etiënne Reijnen,Cambuur,33,2970,1,2,7,0,0.4,87,2.8,2,7.12,33,2.1,2.6,1.2,1,6.2,0.7,0.4,0,7.12,65,,"Warner HahnPEC Zwolle, 23, GK",30,2700,-,-,-,0.1,-,-,-,-,-,7,93,,"Warner HahnPEC Zwolle, 23, GK",30,2700,-,0.1,39.6,62.6,-,9.4,-,7
Everon Pisas,FC Dordrecht,16(9),1386,2,1,2,0,0.6,74.1,0.8,0,6.41,16(9),0.6,0.4,0.6,0.1,0.6,0.6,0,0,6.41,244,,"Terence KongoloFeyenoord, 21, D(CL)",30(1),2684,-,1,0.7,0.2,0.4,1.2,-,0.1,0.4,7.25,28,,"Terence KongoloFeyenoord, 21, D(CL)",30(1),2684,1,0.2,59,87.2,0.1,3.5,-,7.25
Fahd Aktaou,Heracles,19(2),1639,0,0,3,0,0.2,71.8,0.4,1,6.88,19(2),3.2,2.4,1,0.1,3,0.8,0.3,0,6.88,128,,"Michiel KramerADO Den Haag, 26, FW",31(1),2681,17,1,2.4,0.7,0.3,1.3,1.1,0.8,1.3,7.19,49,,"Michiel KramerADO Den Haag, 26, FW",31(1),2681,1,0.7,20.6,64.1,0.1,0.3,-,7.19
Fernando Lewis,Go Ahead Eagles,11(6),983,2,1,1,0,0.9,72.1,1.6,1,6.64,11(6),1.7,1.7,0.9,0,0.6,0.7,0,0,6.64,194,,"Mark UthHeerenveen, 24, FW",32,2679,15,10,3.4,1.3,1.3,1.7,0.9,1.9,3.2,7.17,54,,"Mark UthHeerenveen, 24, FW",32,2679,10,1.3,21.7,70.9,0.1,0.7,0.2,7.17
Filip Kurto,FC Dordrecht,32,2841,0,1,3,0,0,57.1,0.1,0,6.73,32,0,0.1,0,0,1.8,0.1,0,0,6.73,174,,"Mark-Jan FledderusHeracles, 32, D(L),M(CL)",31(2),2673,1,2,1.1,0.8,0.6,1.6,0.1,0.7,0.7,6.72,178,,"Mark-Jan FledderusHeracles, 32, D(L),M(CL)",31(2),2673,2,0.8,31.7,78.3,0.5,2.4,-,6.72
Frank van der Struijk,Willem II,25(4),2355,1,1,3,0,0.3,73.7,1.3,0,6.92,25(4),1.8,4,1,0.1,2.6,0.7,0.4,0,6.92,120,,"Gianni ZuiverloonADO Den Haag, 28, D(CR)",30(2),2658,1,-,1.3,0.3,1.2,0.9,-,0.9,0.8,7,95,,"Gianni ZuiverloonADO Den Haag, 28, D(CR)",30(2),2658,-,0.3,36.3,82.1,0.2,3.3,-,7
Funso Ojo,FC Dordrecht,19,1594,0,0,4,0,0.5,77.3,1.5,0,6.56,19,2.1,1.5,2,0.2,1.8,0.9,0.2,1,6.56,220,,"Adnane TighadouiniNAC Breda, 22, AM(L)",31(2),2655,14,3,3.2,1.5,2.2,1.9,0.1,1.8,3.2,7.19,50,,"Adnane TighadouiniNAC Breda, 22, AM(L)",31(2),2655,3,1.5,24.9,72.7,1.2,1.5,0.1,7.19
Furdjel Narsingh,Cambuur,19(4),1756,0,8,0,0,1.9,81.2,0.1,1,6.99,19(4),0.4,0.3,0.3,0,0.2,0.3,0,0,6.99,97,,"Jeffrey BrumaPSV Eindhoven, 23, D(CR)",29(2),2643,3,2,1,0.2,0.5,0.6,-,0.3,0.5,7.23,36,,"Jeffrey BrumaPSV Eindhoven, 23, D(CR)",29(2),2643,2,0.2,47,88.7,-,3.7,0.1,7.23
Georginio Wijnaldum,PSV Eindhoven,32(1),2878,14,3,0,0,2.5,84.4,0.6,2,7.47,32(1),1,0.8,0.7,0,0.8,0.4,0.2,0,7.47,12,,"Tom van WeertExcelsior, 25, FW",32,2643,13,2,2.7,1,0.3,1.5,0.7,1.8,1.8,6.97,105,,"Tom van WeertExcelsior, 25, FW",32,2643,2,1,20.8,68.1,0.2,0.7,-,6.97
Gévero Markiet,Utrecht,21(8),1885,3,1,0,0,0.9,82.3,3.3,0,6.97,21(8),0.8,2.2,0.6,0.5,5.6,0.3,0.2,1,6.97,106,,"Bartholomew OgbecheCambuur, 30, FW",30(1),2638,13,2,3,1.1,0.6,1.5,0.5,1.9,2.6,7.13,63,,"Bartholomew OgbecheCambuur, 30, FW",30(1),2638,2,1.1,26.9,68.6,0.2,1.1,-,7.13
Gianni Zuiverloon,ADO Den Haag,30(2),2658,1,0,5,1,1.3,82.1,1.5,3,7,30(2),2.7,1.8,1.6,0.5,3.8,1.1,0.3,0,7,95,,"Jeffry FortesFC Dordrecht, 26, D(R),DM(C)",30(1),2631,3,1,0.8,0.5,0.8,1.1,-,0.5,0.6,7.03,85,,"Jeffry FortesFC Dordrecht, 26, D(R),DM(C)",30(1),2631,1,0.5,36.5,71.6,0.2,3.2,-,7.03
Giliano Wijnaldum,Go Ahead Eagles,17(2),1454,0,1,3,1,0.1,78.8,0.7,0,6.62,17(2),1.8,2.8,1.5,0.2,3.3,0.4,0.1,1,6.62,198,,"Joost van AkenHeerenveen, 21, D(CL)",30,2630,-,-,0.5,0.1,0.7,0.4,-,0.2,0.5,7.26,26,,"Joost van AkenHeerenveen, 21, D(CL)",30,2630,-,0.1,43.8,78.4,-,4.4,-,7.26
