Name,Team,Age,Apps,Mins,Min / app,Goals,Assists,Yel,Red,SpG,PS%,Tackles,Tackles2,Fouls,Drb,KeyP,Fouled,Disp,AvgP
Jordan Botaka,Excelsior,22,33,2445,74,1,6,0,0,1.1,70.7,26,0.8,0.6,0.6,0.7,2.1,2.3,19.3
Jordens Peters,Willem II,28,34,2995,88,0,1,4,0,0.4,83.1,51,1.5,1.3,0.4,1.3,2.3,2.6,32.5
Jordy Clasie,Feyenoord,24,31,2780,90,2,5,9,0,1.2,83.2,81,2.6,1.4,1,1.2,1.4,1.1,52.2
Joris van Overeem,FC Dordrecht,21,34,2904,85,2,4,2,0,1,75.7,58,1.7,1.2,0.9,1.8,1.6,2.4,33.3
Jorrit Hendrix,PSV Eindhoven,20,20,1120,56,1,0,1,1,0.4,79.8,26,1.3,0.9,0.9,1.2,1.3,0.8,46.3
Joshua Brenet,PSV Eindhoven,21,18,1238,69,1,0,1,1,0.3,83.5,52,2.9,1.7,1.1,0.5,0.6,0.1,60.5
Josimar Lima,FC Dordrecht,26,20,1636,82,1,1,3,2,0.5,73.6,36,1.8,1.2,0.4,0.6,1,0.4,40.9
Jules Reimerink,Go Ahead Eagles,25,28,1294,46,2,1,3,0,0.9,70.5,25,0.9,0.6,0.4,0.3,0.3,0,44.8
Jürgen Locadia,PSV Eindhoven,21,23,698,30,6,3,0,0,1,84.2,5,0.2,0.4,0.3,0.7,0.7,1,25.3
Jurgen Mattheij,Excelsior,22,20,1630,82,0,0,0,1,0.4,78.2,34,1.7,1,0.4,0.3,0.4,0.1,70.2
Kamohelo Mokotjo,Twente,24,33,2875,87,1,7,4,0,0.6,88.7,69,2.1,0.7,0.6,0.5,0.6,0.1,57.8
Karim El Ahmadi,Feyenoord,30,29,2543,88,2,1,5,0,1.8,89.8,84,2.9,2.6,0.9,0.2,1.2,0.2,64.9
Karim Rekik,PSV Eindhoven,20,29,2559,88,1,0,3,0,0.2,88,52,1.8,0.8,0.4,1.5,1.9,1.9,23.2
Kelvin Leerdam,Vitesse,25,20,1266,63,2,1,2,0,1.7,75.7,26,1.3,1.3,0.2,0.7,0.7,0.5,29.7
Kenneth Vermeer,Feyenoord,29,30,2700,90,0,0,1,0,0,67.1,0,0,0,0,1.1,1.8,1.8,17.7
Kenny Otigba,Heerenveen,23,24,1624,68,0,2,7,0,0.6,81.8,31,1.3,1.4,0.2,0.3,0.7,0.3,33.8
Kenny van der Weg,NAC Breda,24,24,1994,83,1,1,6,0,0.4,75.2,53,2.2,1.3,0.7,1.4,0.9,1.4,31.3
Kevin Diks,Vitesse,18,22,1809,82,0,0,4,0,0.2,80.4,70,3.2,2.1,1.2,0.7,1.2,1,14.5
Kevin Jansen,ADO Den Haag,23,25,1590,64,0,1,6,0,0.5,75.2,30,1.2,0.8,0.8,0.8,0.8,0.8,21
Kevin van Diermen,Excelsior,26,19,1436,76,0,1,2,0,0.1,85.3,27,1.4,0.7,0.2,0.2,0.4,0.2,47
Kevin Vermeulen,Excelsior,24,24,398,17,2,0,1,0,0.4,64.4,7,0.3,0.4,0.2,0.3,1.3,0.5,43.1
Khalid Karami,Excelsior,25,18,1487,83,1,0,2,0,0.4,74.1,38,2.1,0.9,0.7,0.7,0.8,0.8,24.5
Kolbeinn Sigthorsson,Ajax,25,21,1195,57,7,2,1,0,1.7,68,11,0.5,0.7,0.3,0.8,1.7,1.6,23.8
Kostas Lamprou,Willem II,23,33,2954,90,0,0,2,1,0,66.5,0,0,0.1,0,2.1,0.6,1.2,32.1
Kristoffer Nordfeldt,Heerenveen,26,34,3060,90,0,0,2,0,0,56.1,0,0,0,0,1.3,0.7,1.5,25.7
Kristoffer Peterson,Utrecht,20,20,1131,57,2,2,0,0,1.7,79.9,10,0.5,0.5,0.5,0,0.1,0,30
Kyle Ebecilio,Twente,21,26,1858,71,3,2,2,0,0.8,85,31,1.2,1.1,0.5,2.1,0.7,1.3,32.1
Lars Lambooij,Go Ahead Eagles,27,18,899,50,0,1,1,0,0.4,81.6,32,1.8,0.6,0.9,1.1,2,1.1,22.7
Lasse Schöne,Ajax,29,29,2276,78,8,9,0,0,2,83.2,23,0.8,1,0.4,0.9,1.6,1.2,26.8
Leonard Nienhuis,Cambuur,25,34,2970,87,0,0,1,0,0,57.5,0,0,0,0.1,1.2,0.8,0.9,26.5
Lex Immers,Feyenoord,29,30,2630,88,7,4,1,0,2.4,76.3,51,1.7,1.2,0.8,1,1.2,0.6,43
Luc Castaignos,Twente,22,29,2314,80,10,0,4,0,2.3,76.4,12,0.4,1.4,0.4,0.5,1.6,0.9,43.4
Lucas Andersen,Ajax,20,27,1627,60,2,3,2,0,0.7,83.3,24,0.9,0.6,0.7,0.3,0.5,0.3,29
Lucas Bijker,Cambuur,22,30,2502,83,0,2,4,1,0.5,81.8,48,1.6,1.1,0.5,0.1,0.1,0,32.9
Luciano Narsingh,PSV Eindhoven,24,32,2552,80,6,10,1,0,1.4,81,29,0.9,0.3,0.3,0,0.1,0,37.3
Luciano Slagveer,Heerenveen,21,33,2826,86,11,3,2,1,2.3,73.9,53,1.6,0.8,1.3,0.2,0.2,0.1,28.2
Luigi Bruins,Excelsior,28,22,1684,77,2,3,3,1,0.6,75,53,2.4,1.6,1.4,0.3,0.4,0.1,38.9
Luuk de Jong,PSV Eindhoven,25,32,2845,89,20,10,0,0,3.7,71.1,35,1.1,1,0.5,0.6,0.5,0.8,32.9
Maikel Kieftenbeld,Groningen,25,33,2879,87,0,4,8,0,0.7,82.7,73,2.2,1.7,0.8,0.5,0.5,0.7,45.9
Maikel van der Werff,PEC Zwolle,26,33,2570,78,4,1,1,0,0.9,84.3,73,2.2,1.2,0.5,1.1,1.9,1.4,19.9
Mark Diemers,Utrecht,21,21,1440,69,2,1,3,0,1.4,83.1,44,2.1,0.4,0.9,1.9,1.4,0.8,25.5
Mark Uth,Heerenveen,24,32,2679,84,15,10,6,0,3.4,70.9,22,0.7,1.3,0.5,0,0.1,0,35
Mark van der Maarel,Utrecht,26,23,1880,82,1,2,2,1,0.7,74.5,76,3.3,1.3,1,1.4,1.2,0.7,21
Mark-Jan Fledderus,Heracles,32,33,2673,81,1,2,2,0,1.1,78.3,46,1.4,1.3,0.4,0.1,0.2,0.3,34.4
Marko Vejinovic,Vitesse,25,31,2726,88,10,8,5,0,2.1,83.9,105,3.4,2.5,1.3,0.6,0.7,0.3,38.1
Markus Henriksen,AZ Alkmaar,23,22,1917,87,7,4,3,0,1.9,71.5,33,1.5,1.4,0.6,0.6,0.4,0.9,31.4
Marlon Pereira,Cambuur,28,21,1472,70,0,1,1,0,0.1,84.2,17,0.8,0.9,0.6,0.6,0.3,0.7,27.3
Marnix Kolder,Go Ahead Eagles,34,28,1817,65,3,0,0,0,2,63.5,20,0.7,1,0.2,1.3,1.1,1,21.5
Mart Lieder,FC Dordrecht,25,23,1693,74,3,2,2,0,2,70.3,7,0.3,1.7,0.3,0.3,0.9,0.3,42.2
Marten de Roon,Heerenveen,24,32,2772,87,1,0,8,1,1.3,74.4,112,3.5,2.2,1.7,0.4,0.6,0.1,38.8
Martijn Barto,Cambuur,31,29,1458,50,4,1,1,0,1.2,65.5,29,1,1.2,0.5,0.9,1.7,1.1,24.9
Martin Hansen,ADO Den Haag,25,32,2880,90,0,0,1,0,0,59.3,3,0.1,0,0,1,0.6,0.9,29.7
Marvin Peersman,FC Dordrecht,24,26,2134,82,0,0,3,2,0.6,74,65,2.5,1.4,0.9,0.4,0.8,0.3,44.3
Mats Seuntjens,NAC Breda,23,31,1491,48,4,1,1,1,1.6,67.4,22,0.7,0.9,0.3,1.4,1.1,1.5,23.4
Mattias Johansson,AZ Alkmaar,23,31,2547,82,1,2,7,0,0.6,73.9,102,3.3,1.4,1.1,0.9,1.6,2.2,13.5
Memphis Depay,PSV Eindhoven,21,30,2565,86,22,5,2,0,5.4,74.7,24,0.8,0.7,0.4,0.4,1,0.7,32.6
Michael de Leeuw,Groningen,28,28,2145,77,17,1,2,0,1.7,77.7,17,0.6,1.6,0.5,0.5,1,0.6,44.5
Michiel Kramer,ADO Den Haag,26,32,2681,84,17,1,7,0,2.4,64.1,16,0.5,1.5,0.3,0.7,1.2,1.5,29.8
Mickey van der Hart,Go Ahead Eagles,21,22,1980,90,0,0,0,0,0,58.8,2,0.1,0,0,1.3,1.8,1.4,20.2
Mike te Wierik,Heracles,23,24,2160,90,0,1,3,0,0,80.3,65,2.7,1.8,0.6,2.3,1.3,2.5,34.4
Mike van Duinen,ADO Den Haag,23,33,2748,83,5,2,4,0,1.7,63.5,36,1.1,0.8,0.9,2.4,1,1.7,24.3
Mimoun Mahi,Groningen,21,26,1292,50,1,2,3,0,1.5,71.9,29,1.1,1.2,0.7,2,2.4,2.4,37.1
Miquel Nelom,Feyenoord,24,30,2625,88,0,2,3,0,0.4,82.4,75,2.5,0.9,0.4,0.6,1.4,1.8,18.5
Mitchell Dijks,Willem II,22,28,2492,89,0,1,6,0,0.6,77.3,78,2.8,1.8,0.3,1.1,1.3,0.5,41.1
Mitchell te Vrede,Feyenoord,24,20,808,40,7,0,2,0,2.6,64,4,0.2,0.9,0.2,0.8,1,0.1,31.3
Mohamed El Makrini,Cambuur,28,32,2712,85,0,1,5,0,0.5,79.9,106,3.3,2.2,0.9,0.1,0.1,0.1,30.4
Muamer Tankovic,AZ Alkmaar,20,26,1657,64,5,4,0,0,2,80.1,8,0.3,0.7,0.8,0.7,0.4,0.7,24.7
Mustafa Saymak,PEC Zwolle,22,26,1780,68,6,0,1,0,2,79.1,23,0.9,0.5,1.2,1,1,0.9,14.2
Nemanja Gudelj,AZ Alkmaar,23,32,2859,89,11,3,5,1,2.4,81.8,74,2.3,2.1,1,0.3,1.1,0.3,43
Nick Marsman,Twente,24,21,1890,90,0,0,2,0,0,66,0,0,0,0,1,1.1,1.3,21.3
Nick van der Velden,Groningen,33,23,1049,46,1,1,2,0,0.8,70.8,9,0.4,1.1,0.4,1.4,1,1,29.5
Nick Viergever,Ajax,26,26,1928,74,2,0,5,0,0.4,85.2,47,1.8,1,0.8,1.1,1,0.8,33.1
Nicolai Boilesen,Ajax,23,22,1788,81,0,3,2,0,0.4,80.9,55,2.5,0.6,0.6,1.6,1.1,1,21.5
Niklas Moisander,Ajax,29,25,2205,88,0,0,1,1,0.3,87.5,35,1.4,0.7,0.8,0.2,1.1,1.4,23.6
Ninos Gouriye,Excelsior,24,23,1040,45,2,3,2,0,1.6,69.8,23,1,0.9,0.3,0.2,0.4,0.2,30.2
Oussama Tannane,Heracles,21,19,1593,84,5,4,1,1,2.9,71.1,40,2.1,2.2,0.8,0.1,0.8,0.1,37.2
Pele van Anholt,Heerenveen,24,32,2815,88,0,1,3,1,0.6,80.8,93,2.9,1.1,1.2,0.1,0.7,0.2,28.7
Ramon Leeuwin,Utrecht,27,27,2326,86,0,0,5,1,0.8,86.7,41,1.5,1.2,0.4,1.2,1.6,2.1,27.4
Rasmus Bengtsson,Twente,29,17,1264,74,1,0,3,0,0.4,90.7,10,0.6,0.7,0.2,0.3,1.1,0.3,34.7
Rasmus Lindgren,Groningen,30,23,1697,74,1,1,3,1,0.5,83.6,44,1.9,0.9,0.8,1,2.5,1.9,15.4
